"Instance","Deviation_ILS","Deviation_Memetic"
"N-be75eec_150",0.866652042535549,0.936824902062347
"N-be75np_150",0.608182651329568,1.01270851264753
"N-be75oi_150",0.363137170414514,0.700768383652328
"N-be75tot_150",1.27451769479855,2.10664202849238
"N-stabu1_150",0.867083580806556,1.07503063567815
"N-stabu2_150",0.516344397206911,0.507216805490789
"N-stabu3_150",0.534891790056192,1.3839654402171
"N-t59b11xx_150",0.338627278480036,1.48091555925977
"N-t59d11xx_150",1.22547595298274,1.32747930706086
"N-t59f11xx_150",1.00742809799363,1.40944062218013
"N-t59n11xx_150",1.09198645598194,1.05561825934286
"N-t65b11xx_150",0.739699614306902,1.58917890073438
"N-t65d11xx_150",1.26284399919423,1.35479906848082
"N-t65f11xx_150",1.24469586234532,1.55311607602381
"N-t65l11xx_150",0.407267675890701,0.767573284503307
"N-t65n11xx_150",0.73883351823842,1.41502325083117
"N-t69r11xx_150",0.805923975601463,1.27665780164351
"N-t70b11xx_150",0.657017678340589,1.27741344172508
"N-t70d11xn_150",1.30146071850204,2.12686478126646
"N-t70d11xx_150",1.09287422552443,1.90783291314245
"N-t70f11xx_150",0.72070487216066,1.84320800171337
"N-t70l11xx_150",0.840311127999231,0.740279539076413
"N-t70n11xx_150",1.38242388922904,1.22993361878275
"N-t74d11xx_150",0.942226324184944,1.72901489179914
"N-t75d11xx_150",1.01946248446922,1.65351260197425
"N-t75e11xx_150",0.935343263862162,1.01715909762555
"N-t75k11xx_150",0.465815946590417,0.500779711415961
"N-t75n11xx_150",1.03935874944208,1.61586236886823
"N-tiw56n54_150",0.485234711108724,1.64056113468068
"N-tiw56n58_150",0.988149476541295,1.47724754888384
"N-tiw56n62_150",0.73101275353874,1.19397315542672
"N-tiw56n66_150",1.1705151642683,1.16263897791774
"N-tiw56n67_150",0.993709875487057,1.35048459159704
"N-tiw56n72_150",1.0376200431973,1.63729503588935
"N-tiw56r54_150",0.608333194182377,1.33094411140982
"N-tiw56r58_150",0.492251670022431,1.06815823898236
"N-tiw56r66_150",1.08983359568828,1.65378937578417
"N-tiw56r67_150",0.893234458970203,1.16449217957864
"N-tiw56r72_150",1.15402948836267,2.2689267281403
